t;h;season
278.950000;090000;winter
279.850000;090000;winter
279.750000;090000;winter
280.550000;120000;winter
280.850000;120000;winter
280.150000;120000;winter
280.750000;120000;winter
280.550000;120000;winter
281.850000;150000;winter
281.050000;150000;winter
281.250000;150000;winter
281.750000;150000;winter
281.850000;150000;winter
278.350000;180000;winter
278.750000;180000;winter
280.250000;180000;winter
279.850000;180000;winter
280.950000;180000;winter
277.450000;210000;winter
278.250000;210000;winter
279.750000;210000;winter
278.250000;210000;winter
280.150000;210000;winter
275.850000;000000;winter
278.150000;000000;winter
279.950000;000000;winter
278.650000;000000;winter
280.150000;000000;winter
275.650000;030000;winter
279.450000;030000;winter
279.750000;030000;winter
279.550000;030000;winter
279.450000;030000;winter
276.450000;060000;winter
277.450000;060000;winter
278.050000;060000;winter
279.850000;060000;winter
279.650000;060000;winter
278.250000;090000;winter
278.050000;090000;winter
279.050000;090000;winter
279.450000;090000;winter
280.650000;090000;winter
281.650000;120000;winter
281.450000;120000;winter
281.450000;120000;winter
281.750000;120000;winter
282.550000;150000;winter
282.350000;150000;winter
283.350000;150000;winter
281.950000;150000;winter
283.350000;150000;winter
284.750000;180000;winter
283.650000;180000;winter
285.150000;180000;winter
283.150000;180000;winter
284.850000;180000;winter
281.750000;210000;winter
282.650000;210000;winter
283.850000;210000;winter
284.250000;210000;winter
284.450000;210000;winter
282.850000;000000;winter
281.950000;000000;winter
282.650000;000000;winter
283.550000;000000;winter
282.150000;000000;winter
282.250000;030000;winter
281.650000;030000;winter
281.250000;030000;winter
282.150000;030000;winter
282.150000;030000;winter
281.750000;060000;winter
280.750000;060000;winter
281.150000;060000;winter
280.850000;060000;winter
282.650000;060000;winter
281.850000;090000;winter
280.850000;090000;winter
282.550000;090000;winter
281.550000;090000;winter
283.050000;090000;winter
281.850000;120000;winter
282.150000;120000;winter
284.150000;120000;winter
282.650000;120000;winter
284.450000;120000;winter
285.850000;150000;winter
284.350000;150000;winter
286.050000;150000;winter
283.950000;150000;winter
286.150000;150000;winter
285.750000;180000;winter
285.350000;180000;winter
285.350000;180000;winter
285.550000;180000;winter
285.850000;180000;winter
285.550000;210000;winter
285.250000;210000;winter
285.250000;210000;winter
285.350000;210000;winter
285.050000;210000;winter
286.450000;000000;winter
285.550000;000000;winter
285.250000;000000;winter
284.950000;000000;winter
284.550000;000000;winter
285.850000;030000;winter
285.350000;030000;winter
285.050000;030000;winter
285.450000;030000;winter
284.450000;030000;winter
285.750000;060000;winter
284.650000;060000;winter
285.050000;060000;winter
284.350000;060000;winter
284.550000;060000;winter
285.250000;090000;winter
284.950000;090000;winter
285.050000;090000;winter
284.850000;090000;winter
284.750000;090000;winter
286.150000;120000;winter
285.650000;120000;winter
286.350000;120000;winter
287.250000;120000;winter
286.250000;120000;winter
286.050000;150000;winter
286.250000;150000;winter
286.250000;150000;winter
287.350000;150000;winter
286.350000;150000;winter
286.150000;180000;winter
285.150000;180000;winter
285.150000;180000;winter
286.050000;180000;winter
285.150000;180000;winter
